[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
TokenMonster vocab loaded successfully, bpb metrics enabled
Downloading (incomplete total...): 0.00B [00:00, ?B/s]                                                                                                                 Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:02<00:00,  1.74it/s]
Download complete: : 812MB [00:02, 834MB/s]              logs/d4d32bf6-4846-41b2-8730-d6f4dc1a401f.txt                                    | 1/4 [00:02<00:06,  2.30s/it]
Download complete: : 812MB [00:06, 118MB/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
Resetting Model
step:0/1530 val_loss[approx]:10.1720npt val_loss[exact]:3.2174bpb val_acc:0.03% train_time:0ms step_avg:0.05ms
step:1/1530 train_time:314ms step_avg:314.50ms
step:2/1530 train_time:625ms step_avg:312.34ms
step:3/1530 train_time:941ms step_avg:313.50ms
step:4/1530 train_time:1264ms step_avg:316.05ms
step:5/1530 train_time:1579ms step_avg:315.87ms
step:6/1530 train_time:1893ms step_avg:315.57ms
step:7/1530 train_time:2215ms step_avg:316.44ms
step:8/1530 train_time:2530ms step_avg:316.30ms
step:9/1530 train_time:2846ms step_avg:316.23ms
step:10/1530 train_time:3166ms step_avg:316.62ms
step:11/1530 train_time:3485ms step_avg:316.78ms
step:12/1530 train_time:3802ms step_avg:316.80ms
step:13/1530 train_time:4123ms step_avg:317.13ms
step:14/1530 train_time:4442ms step_avg:317.27ms
step:15/1530 train_time:4760ms step_avg:317.31ms
step:16/1530 train_time:5080ms step_avg:317.48ms
step:17/1530 train_time:5400ms step_avg:317.67ms
step:18/1530 train_time:5719ms step_avg:317.73ms
step:19/1530 train_time:6039ms step_avg:317.82ms
step:20/1530 train_time:6358ms step_avg:317.91ms
step:21/1530 train_time:6677ms step_avg:317.96ms
step:22/1530 train_time:6995ms step_avg:317.97ms
step:23/1530 train_time:7316ms step_avg:318.07ms
step:24/1530 train_time:7632ms step_avg:318.01ms
step:25/1530 train_time:7950ms step_avg:317.99ms
step:26/1530 train_time:8268ms step_avg:318.01ms
step:27/1530 train_time:8586ms step_avg:317.99ms
step:28/1530 train_time:8904ms step_avg:318.00ms
step:29/1530 train_time:9224ms step_avg:318.07ms
step:30/1530 train_time:9543ms step_avg:318.11ms
step:31/1530 train_time:9863ms step_avg:318.16ms
step:32/1530 train_time:10183ms step_avg:318.22ms
step:33/1530 train_time:10503ms step_avg:318.26ms
step:34/1530 train_time:10821ms step_avg:318.27ms
step:35/1530 train_time:11142ms step_avg:318.33ms
step:36/1530 train_time:11461ms step_avg:318.36ms
step:37/1530 train_time:11781ms step_avg:318.41ms
step:38/1530 train_time:12100ms step_avg:318.43ms
step:39/1530 train_time:12420ms step_avg:318.46ms
step:40/1530 train_time:12738ms step_avg:318.45ms
step:41/1530 train_time:13056ms step_avg:318.43ms
step:42/1530 train_time:13372ms step_avg:318.37ms
step:43/1530 train_time:13688ms step_avg:318.33ms
step:44/1530 train_time:14005ms step_avg:318.29ms
step:45/1530 train_time:14323ms step_avg:318.29ms
step:46/1530 train_time:14640ms step_avg:318.26ms
step:47/1530 train_time:14958ms step_avg:318.26ms
step:48/1530 train_time:15277ms step_avg:318.27ms
step:49/1530 train_time:15593ms step_avg:318.23ms
step:50/1530 train_time:15909ms step_avg:318.17ms
step:51/1530 train_time:16226ms step_avg:318.15ms
step:52/1530 train_time:16543ms step_avg:318.13ms
step:53/1530 train_time:16861ms step_avg:318.14ms
step:54/1530 train_time:17180ms step_avg:318.14ms
step:55/1530 train_time:17498ms step_avg:318.14ms
step:56/1530 train_time:17815ms step_avg:318.12ms
step:57/1530 train_time:18132ms step_avg:318.10ms
step:58/1530 train_time:18447ms step_avg:318.05ms
step:59/1530 train_time:18765ms step_avg:318.05ms
step:60/1530 train_time:19082ms step_avg:318.03ms
step:61/1530 train_time:19400ms step_avg:318.04ms
step:62/1530 train_time:19718ms step_avg:318.04ms
step:63/1530 train_time:20036ms step_avg:318.04ms
step:64/1530 train_time:20353ms step_avg:318.02ms
step:65/1530 train_time:20671ms step_avg:318.01ms
step:66/1530 train_time:20986ms step_avg:317.98ms
step:67/1530 train_time:21304ms step_avg:317.97ms
step:68/1530 train_time:21622ms step_avg:317.97ms
step:69/1530 train_time:21940ms step_avg:317.97ms
step:70/1530 train_time:22259ms step_avg:317.98ms
step:71/1530 train_time:22578ms step_avg:318.00ms
step:72/1530 train_time:22895ms step_avg:317.98ms
step:73/1530 train_time:23211ms step_avg:317.97ms
step:74/1530 train_time:23528ms step_avg:317.95ms
step:75/1530 train_time:23846ms step_avg:317.94ms
step:76/1530 train_time:24163ms step_avg:317.93ms
step:77/1530 train_time:24482ms step_avg:317.94ms
step:78/1530 train_time:24800ms step_avg:317.95ms
step:79/1530 train_time:25119ms step_avg:317.96ms
step:80/1530 train_time:25438ms step_avg:317.97ms
step:81/1530 train_time:25758ms step_avg:317.99ms
step:82/1530 train_time:26076ms step_avg:318.00ms
step:83/1530 train_time:26393ms step_avg:317.99ms
step:84/1530 train_time:26709ms step_avg:317.97ms
step:85/1530 train_time:27028ms step_avg:317.97ms
step:86/1530 train_time:27344ms step_avg:317.95ms
step:87/1530 train_time:27663ms step_avg:317.97ms
step:88/1530 train_time:27982ms step_avg:317.98ms
step:89/1530 train_time:28301ms step_avg:317.98ms
step:90/1530 train_time:28620ms step_avg:318.00ms
step:91/1530 train_time:28938ms step_avg:318.00ms
step:92/1530 train_time:29256ms step_avg:318.01ms
step:93/1530 train_time:29574ms step_avg:318.00ms
step:94/1530 train_time:29890ms step_avg:317.98ms
step:95/1530 train_time:30208ms step_avg:317.98ms
step:96/1530 train_time:30525ms step_avg:317.97ms
step:97/1530 train_time:30844ms step_avg:317.97ms
step:98/1530 train_time:31163ms step_avg:317.99ms
step:99/1530 train_time:31482ms step_avg:318.00ms
step:100/1530 train_time:31800ms step_avg:318.00ms
step:101/1530 train_time:32120ms step_avg:318.02ms
step:102/1530 train_time:32440ms step_avg:318.04ms
step:103/1530 train_time:32760ms step_avg:318.06ms
step:104/1530 train_time:33077ms step_avg:318.05ms
step:105/1530 train_time:33397ms step_avg:318.07ms
step:106/1530 train_time:33715ms step_avg:318.07ms
step:107/1530 train_time:34034ms step_avg:318.07ms
step:108/1530 train_time:34351ms step_avg:318.06ms
step:109/1530 train_time:34669ms step_avg:318.06ms
step:110/1530 train_time:34987ms step_avg:318.06ms
step:111/1530 train_time:35306ms step_avg:318.07ms
step:112/1530 train_time:35624ms step_avg:318.07ms
step:113/1530 train_time:35943ms step_avg:318.08ms
step:114/1530 train_time:36262ms step_avg:318.09ms
step:115/1530 train_time:36582ms step_avg:318.10ms
step:116/1530 train_time:36901ms step_avg:318.11ms
step:117/1530 train_time:37221ms step_avg:318.12ms
step:118/1530 train_time:37540ms step_avg:318.13ms
step:119/1530 train_time:37861ms step_avg:318.16ms
step:120/1530 train_time:38180ms step_avg:318.16ms
step:121/1530 train_time:38500ms step_avg:318.18ms
step:122/1530 train_time:38819ms step_avg:318.19ms
step:123/1530 train_time:39139ms step_avg:318.20ms
step:124/1530 train_time:39458ms step_avg:318.21ms
step:125/1530 train_time:39777ms step_avg:318.22ms
step:126/1530 train_time:40097ms step_avg:318.23ms
step:127/1530 train_time:40415ms step_avg:318.23ms
step:128/1530 train_time:40733ms step_avg:318.22ms
step:129/1530 train_time:41052ms step_avg:318.23ms
step:130/1530 train_time:41369ms step_avg:318.22ms
step:131/1530 train_time:41687ms step_avg:318.22ms
step:132/1530 train_time:42007ms step_avg:318.23ms
step:133/1530 train_time:42326ms step_avg:318.24ms
step:134/1530 train_time:42643ms step_avg:318.23ms
step:135/1530 train_time:42964ms step_avg:318.25ms
step:136/1530 train_time:43283ms step_avg:318.26ms
step:137/1530 train_time:43602ms step_avg:318.26ms
step:138/1530 train_time:43923ms step_avg:318.28ms
step:139/1530 train_time:44243ms step_avg:318.30ms
