root@db4c43576df5:/modded-nanogpt# uv  run torchrun --standalone --nproc_per_node=1 train_gpt.py
[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:02<00:00,  1.90it/s]
Download complete: : 812MB [00:02, 429MB/s]                                                                                                                             logs/e504b0a7-96bd-469a-8d18-a35e8eb0d6a4.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Download complete: : 812MB [00:10, 81.2MB/s]

Resetting Model
step:0/1480 val_loss:10.8282 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:317ms step_avg:317.42ms
step:2/1480 train_time:659ms step_avg:329.69ms
step:3/1480 train_time:1011ms step_avg:337.07ms
step:4/1480 train_time:1361ms step_avg:340.22ms
step:5/1480 train_time:1707ms step_avg:341.36ms
step:6/1480 train_time:2056ms step_avg:342.72ms
step:7/1480 train_time:2407ms step_avg:343.82ms
step:8/1480 train_time:2753ms step_avg:344.17ms
step:9/1480 train_time:3105ms step_avg:344.98ms
step:10/1480 train_time:3453ms step_avg:345.30ms
step:11/1480 train_time:3806ms step_avg:345.96ms
step:12/1480 train_time:4155ms step_avg:346.28ms
step:13/1480 train_time:4507ms step_avg:346.67ms
step:14/1480 train_time:4855ms step_avg:346.81ms
step:15/1480 train_time:5208ms step_avg:347.20ms
step:16/1480 train_time:5559ms step_avg:347.42ms
step:17/1480 train_time:5910ms step_avg:347.67ms
step:18/1480 train_time:6260ms step_avg:347.79ms
step:19/1480 train_time:6612ms step_avg:348.00ms
step:20/1480 train_time:6962ms step_avg:348.12ms
step:21/1480 train_time:7314ms step_avg:348.28ms
step:22/1480 train_time:7665ms step_avg:348.42ms
step:23/1480 train_time:8016ms step_avg:348.53ms
step:24/1480 train_time:8367ms step_avg:348.62ms
step:25/1480 train_time:8719ms step_avg:348.77ms
step:26/1480 train_time:9069ms step_avg:348.82ms
step:27/1480 train_time:9422ms step_avg:348.98ms
step:28/1480 train_time:9772ms step_avg:349.00ms
step:29/1480 train_time:10127ms step_avg:349.20ms
step:30/1480 train_time:10477ms step_avg:349.25ms
step:31/1480 train_time:10829ms step_avg:349.32ms
step:32/1480 train_time:11180ms step_avg:349.38ms
step:33/1480 train_time:11532ms step_avg:349.46ms
step:34/1480 train_time:11883ms step_avg:349.51ms
step:35/1480 train_time:12235ms step_avg:349.57ms
step:36/1480 train_time:12587ms step_avg:349.64ms
step:37/1480 train_time:12940ms step_avg:349.73ms
step:38/1480 train_time:13290ms step_avg:349.72ms
step:39/1480 train_time:13645ms step_avg:349.86ms
step:40/1480 train_time:13994ms step_avg:349.86ms
step:41/1480 train_time:14347ms step_avg:349.93ms
step:42/1480 train_time:14698ms step_avg:349.96ms
step:43/1480 train_time:15048ms step_avg:349.95ms
step:44/1480 train_time:15396ms step_avg:349.92ms
step:45/1480 train_time:15747ms step_avg:349.94ms
step:46/1480 train_time:16096ms step_avg:349.92ms
step:47/1480 train_time:16447ms step_avg:349.93ms
step:48/1480 train_time:16796ms step_avg:349.92ms
step:49/1480 train_time:17147ms step_avg:349.93ms
step:50/1480 train_time:17495ms step_avg:349.90ms
step:51/1480 train_time:17847ms step_avg:349.93ms
step:52/1480 train_time:18196ms step_avg:349.92ms
step:53/1480 train_time:18547ms step_avg:349.94ms
step:54/1480 train_time:18897ms step_avg:349.95ms
