[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
TokenMonster vocab loaded successfully, bpb metrics enabled
Fetching 4 files: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  2.12it/s]
Download complete: : 812MB [00:01, 468MB/s]                                                                                                                             logs/876ebdc1-3d37-4252-ba6b-e609379d77ea.txt
Download complete: : 812MB [00:05, 143MB/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
Resetting Model
step:0/1530 val_loss[approx]:10.1716npt val_loss[exact]:3.2172bpb val_acc:0.03% train_time:0ms step_avg:0.04ms
step:1/1530 train_time:296ms step_avg:295.62ms
step:2/1530 train_time:612ms step_avg:305.91ms
step:3/1530 train_time:933ms step_avg:310.91ms
step:4/1530 train_time:1261ms step_avg:315.22ms
step:5/1530 train_time:1578ms step_avg:315.66ms
step:6/1530 train_time:1898ms step_avg:316.28ms
step:7/1530 train_time:2224ms step_avg:317.75ms
step:8/1530 train_time:2543ms step_avg:317.92ms
step:9/1530 train_time:2863ms step_avg:318.11ms
step:10/1530 train_time:3186ms step_avg:318.58ms
step:11/1530 train_time:3508ms step_avg:318.88ms
step:12/1530 train_time:3828ms step_avg:319.01ms
step:13/1530 train_time:4152ms step_avg:319.40ms
step:14/1530 train_time:4476ms step_avg:319.74ms
step:15/1530 train_time:4799ms step_avg:319.94ms
step:16/1530 train_time:5121ms step_avg:320.08ms
step:17/1530 train_time:5444ms step_avg:320.21ms
step:18/1530 train_time:5764ms step_avg:320.23ms
step:19/1530 train_time:6086ms step_avg:320.32ms
step:20/1530 train_time:6408ms step_avg:320.39ms
step:21/1530 train_time:6733ms step_avg:320.60ms
step:22/1530 train_time:7054ms step_avg:320.66ms
step:23/1530 train_time:7379ms step_avg:320.82ms
step:24/1530 train_time:7701ms step_avg:320.90ms
step:25/1530 train_time:8024ms step_avg:320.95ms
step:26/1530 train_time:8345ms step_avg:320.98ms
step:27/1530 train_time:8668ms step_avg:321.03ms
step:28/1530 train_time:8991ms step_avg:321.10ms
step:29/1530 train_time:9315ms step_avg:321.20ms
step:30/1530 train_time:9639ms step_avg:321.29ms
step:31/1530 train_time:9961ms step_avg:321.34ms
step:32/1530 train_time:10284ms step_avg:321.36ms
step:33/1530 train_time:10605ms step_avg:321.37ms
step:34/1530 train_time:10928ms step_avg:321.40ms
step:35/1530 train_time:11249ms step_avg:321.40ms
step:36/1530 train_time:11569ms step_avg:321.35ms
step:37/1530 train_time:11891ms step_avg:321.38ms
step:38/1530 train_time:12213ms step_avg:321.38ms
step:39/1530 train_time:12535ms step_avg:321.41ms
step:40/1530 train_time:12857ms step_avg:321.43ms
step:41/1530 train_time:13180ms step_avg:321.47ms
step:42/1530 train_time:13500ms step_avg:321.42ms
step:43/1530 train_time:13822ms step_avg:321.43ms
step:44/1530 train_time:14142ms step_avg:321.41ms
step:45/1530 train_time:14463ms step_avg:321.40ms
step:46/1530 train_time:14784ms step_avg:321.38ms
step:47/1530 train_time:15104ms step_avg:321.35ms
step:48/1530 train_time:15423ms step_avg:321.32ms
step:49/1530 train_time:15745ms step_avg:321.32ms
step:50/1530 train_time:16065ms step_avg:321.30ms
step:51/1530 train_time:16385ms step_avg:321.27ms
step:52/1530 train_time:16705ms step_avg:321.25ms
step:53/1530 train_time:17026ms step_avg:321.24ms
step:54/1530 train_time:17345ms step_avg:321.20ms
step:55/1530 train_time:17667ms step_avg:321.22ms
step:56/1530 train_time:17987ms step_avg:321.20ms
step:57/1530 train_time:18308ms step_avg:321.20ms
step:58/1530 train_time:18630ms step_avg:321.20ms
step:59/1530 train_time:18952ms step_avg:321.23ms
step:60/1530 train_time:19275ms step_avg:321.24ms
step:61/1530 train_time:19598ms step_avg:321.28ms
step:62/1530 train_time:19921ms step_avg:321.30ms
step:63/1530 train_time:20242ms step_avg:321.30ms
step:64/1530 train_time:20564ms step_avg:321.31ms
step:65/1530 train_time:20885ms step_avg:321.31ms
step:66/1530 train_time:21205ms step_avg:321.29ms
step:67/1530 train_time:21525ms step_avg:321.28ms
step:68/1530 train_time:21847ms step_avg:321.28ms
step:69/1530 train_time:22170ms step_avg:321.31ms
step:70/1530 train_time:22493ms step_avg:321.32ms
step:71/1530 train_time:22816ms step_avg:321.36ms
step:72/1530 train_time:23139ms step_avg:321.37ms
step:73/1530 train_time:23462ms step_avg:321.39ms
step:74/1530 train_time:23783ms step_avg:321.40ms
step:75/1530 train_time:24105ms step_avg:321.39ms
step:76/1530 train_time:24426ms step_avg:321.39ms
step:77/1530 train_time:24748ms step_avg:321.40ms
step:78/1530 train_time:25069ms step_avg:321.40ms
step:79/1530 train_time:25392ms step_avg:321.42ms
step:80/1530 train_time:25716ms step_avg:321.45ms
step:81/1530 train_time:26039ms step_avg:321.47ms
step:82/1530 train_time:26362ms step_avg:321.48ms
step:83/1530 train_time:26684ms step_avg:321.50ms
step:84/1530 train_time:27005ms step_avg:321.48ms
step:85/1530 train_time:27327ms step_avg:321.50ms
step:86/1530 train_time:27650ms step_avg:321.51ms
step:87/1530 train_time:27973ms step_avg:321.53ms
step:88/1530 train_time:28295ms step_avg:321.54ms
step:89/1530 train_time:28620ms step_avg:321.57ms
step:90/1530 train_time:28942ms step_avg:321.58ms
step:91/1530 train_time:29264ms step_avg:321.59ms
step:92/1530 train_time:29586ms step_avg:321.58ms
step:93/1530 train_time:29908ms step_avg:321.60ms
step:94/1530 train_time:30232ms step_avg:321.61ms
step:95/1530 train_time:30556ms step_avg:321.64ms
step:96/1530 train_time:30879ms step_avg:321.66ms
step:97/1530 train_time:31202ms step_avg:321.67ms
step:98/1530 train_time:31524ms step_avg:321.67ms
step:99/1530 train_time:31847ms step_avg:321.68ms
step:100/1530 train_time:32168ms step_avg:321.68ms
step:101/1530 train_time:32492ms step_avg:321.70ms
step:102/1530 train_time:32816ms step_avg:321.72ms
